Xは | Yという -> ものを | 見た
Xが | Yの -> ステッキを | 出しておけと
Xは | Yの -> 前に | 要する
Xが | Y -> 一尺ほど | 切り抜かれて
Xに | Yの -> 代理を | 勤めている
Xは | Yの -> 上に | かかる
Xに | Yの -> 上に | かかる
Xを -> 誘うて | Yに -> 驚ろいて | 覚ますと
Xとして | Yの -> 音のみ | 聞える
Xのごとく | Yの -> 音のみ | 聞える
X -> 振って | Yの -> 容子を | 窺うと
Xを -> 振って | Yの -> 容子を | 窺うと
Xで | Yと -> 音が | しだす
Xから -> 出るわいと | Yの -> 横へ | すくんで
Xが | Yか -> 何かに | 掛ったらしい
Xは | Yか -> 何かに | 掛ったらしい
Xは | Yが -> 掛ったらしい | する
Xは | Yは -> 掛ったらしい | する
Xは | Yかに -> 掛ったらしい | する
Xづらと -> したら | Yも -> 離れて | おらん
Xに -> したら | Yも -> 離れて | おらん
Xまで -> 近寄るがまた | Yも -> 出す -> ものは | ない
Xまで -> 近寄るがまた | Yを -> 出す -> ものは | ない
Xが -> 近寄るがまた | Yも -> 出す -> ものは | ない
Xが -> 近寄るがまた | Yを -> 出す -> ものは | ない
Xは | Yで -> 待っておらねばならん -> 随分気の | 長い話だ
Xは | Yの -> 中で | うしている
Xが -> 開けておけば -> 善いのに | Yの -> 利かぬ | 山出しだ
Xを -> 開けておけば -> 善いのに | Yの -> 利かぬ | 山出しだ
Xは | Yの -> 鮑貝が | 鳴る
Xで | Yの -> 鮑貝が | 鳴る
Xで -> 近寄ると | Yから -> たぎり | 隠れてしまった
Xで -> 近寄ると | Yが -> たぎり | 隠れてしまった
Xで -> 近寄ると | Y -> たぎり | 隠れてしまった
Xで -> 近寄ると | Yの -> 下へ | 隠れてしまった
Xから -> たぎり | Yの -> 下へ | 隠れてしまった
Xが -> たぎり | Yの -> 下へ | 隠れてしまった
X -> たぎり | Yの -> 下へ | 隠れてしまった
Xは | Yが -> 落して | 馳け込む
Xは | Yを -> 落して | 馳け込む
Xは | Yの -> 下へ | 馳け込む
Xに | Yが -> 落して | 馳け込む
Xに | Yを -> 落して | 馳け込む
Xに | Yの -> 下へ | 馳け込む
Xが | Yの -> 袋を | 落して
Xかと -> 続いて -> 飛び下りたら | Yも -> 姿も | 見えぬ
Xは | Yが -> ないのか | 知らん
Xが -> 廻ると | Yは -> 流しから | 騒ぎ立てる
Xが -> 廻ると | Yすると -> 流しから | 騒ぎ立てる
Xが -> 廻ると | Yに -> 頑張っていると | 騒ぎ立てる
Xへ -> 廻ると | Yは -> 流しから | 騒ぎ立てる
Xへ -> 廻ると | Yすると -> 流しから | 騒ぎ立てる
Xへ -> 廻ると | Yに -> 頑張っていると | 騒ぎ立てる
Xは -> 流しから | Yに -> 頑張っていると | 騒ぎ立てる
Xすると -> 流しから | Yに -> 頑張っていると | 騒ぎ立てる
Xは | Yけ出し -> 警戒すると | 流しから
Xは | Yを -> 警戒すると | 流しから
Xと -> 云おうか | Yと -> 云おうかとうてい | 敵でない
Xと | Yを -> 労らして | 奔走努力して
Xを | Yを -> 労らして | 奔走努力して
Xは | Yは -> 見たが | 成功しない
Xは | Y -> 見たが | 成功しない
Xは | Yして -> 見たが | 成功しない
Xは | Yと -> 奔走努力して | 見たが
Xは | Yを -> 奔走努力して | 見たが
Xは | Yらして -> 奔走努力して | 見たが
X | Yと -> 奔走努力して | 見たが
X | Yを -> 奔走努力して | 見たが
X | Yらして -> 奔走努力して | 見たが
Xではあるが | Yを -> しては | ない
Xではあるが | Yに -> しては | ない
Xではあるが | Yこすべき -> 策が | ない
Xと -> 疲れたので | Yへ -> 坐ったなり -> 動かない -> 事に | なった
Xは | Yも -> あり | あったが
Xは | Yな -> 美感さえ | あったが
Xを -> 過すと | Yが -> 抜けて | ぼーとする
X -> 過すと | Yが -> 抜けて | ぼーとする
Xだからと | Yの -> 極 | 眠たくなる
Xは | Yを -> たどって | 眠くなった
Xは | Yに -> 在っても | 必要である
Xが | Yくる -> 間も | あらばこそ
X込んで | Yの -> 吾を | 思えば
X込んで -> 思えば | Yが -> あらばこそ | 喰いつく
X込んで -> 思えば | Yも -> あらばこそ | 喰いつく
X込んで -> 思えば | Yを -> 切って | 喰いつく
X込んで -> 思えば | Yの -> 耳へ | 喰いつく
Xを -> 思えば | Yが -> あらばこそ | 喰いつく
Xを -> 思えば | Yも -> あらばこそ | 喰いつく
Xを -> 思えば | Yを -> 切って | 喰いつく
Xを -> 思えば | Yの -> 耳へ | 喰いつく
Xると -> 思えば | Yが -> あらばこそ | 喰いつく
Xると -> 思えば | Yも -> あらばこそ | 喰いつく
Xると -> 思えば | Yを -> 切って | 喰いつく
Xると -> 思えば | Yの -> 耳へ | 喰いつく
Xが -> あらばこそ | Yを -> 切って | 喰いつく
Xが -> あらばこそ | Yの -> 耳へ | 喰いつく
Xも -> あらばこそ | Yを -> 切って | 喰いつく
Xも -> あらばこそ | Yの -> 耳へ | 喰いつく
Xを -> 切って | Yの -> 耳へ | 喰いつく
Xは -> 廻るかと -> 思う | Yの -> 尻尾へ | ぶら下がる
Xに -> 廻るかと -> 思う | Yの -> 尻尾へ | ぶら下がる
Xは | Yも -> なく | 跳上る
Xは | Yを -> 失って | 懸る
Xが | Yの -> 口に | 這入る
Xなく | Yの -> 口に | 這入る
Xのみは | Yに -> 残って | 跳ね返る
Xのみは | Yに -> 当って | 跳ね返る
Xのみは | Yの -> 上に | 跳ね返る
Xは | Yに -> 当って | 跳ね返る
Xは | Yの -> 上に | 跳ね返る
Xに | Yを -> 啣えながら | ふると
Xを | Y -> なく | 乗し掛れば
Xを -> 乗し掛れば | Yを -> 蹴たるごとく | 立つ
Xを -> 乗し掛れば | Yに -> 縮めて | 立つ
Xを -> 乗し掛れば | Yを -> 縮めて | 立つ
Xを -> 蹴たるごとく | Yに -> 縮めて | 立つ
Xを -> 蹴たるごとく | Yを -> 縮めて | 立つ
Xづらを -> 掠めて | Yの -> 縁に | 縮めて
Xは | Yから -> 見おろす | 見上ぐる
Xは | Yを -> 見おろす | 見上ぐる
Xに | Yの -> 光りが | 差し込む
Xに | Yを -> 張るごとく | 差し込む
Xに | Yに -> 張るごとく | 差し込む
Xは | Yに -> 込めて | 飛び上がろうとした
Xは | Yを -> 込めて | 飛び上がろうとした
Xは | Yの -> 上に | 飛び上がろうとした
Xだけは | Y -> よく | かかったが
Xだけは | Yの -> 縁に | かかったが
Xには | Yるまじき -> 勢で | 喰い下っている
Xが | Yるまじき -> 勢で | 喰い下っている
Xに | Yの -> 重みで | 浅くなる
Xは | Yの -> 爪一本で | 下った
Xでは -> ならぬと | Yの -> 前足を | 抜き
Xで | Yの -> からだが | 廻わる
Xは | Yぞと -> 懸けて | 飛び下りる
Xは | Yを -> 懸けて | 飛び下りる
Xは | Y -> 懸けて | 飛び下りる
Xは | Yの -> 上から | 飛び下りる
Xぞと | Yの -> 額を | 懸けて
Xは | Yの -> かかりを | 失う
Xが -> なって | Yを -> 切って | 落ちる
Xが -> なって | Yに -> 切って | 落ちる
Xと -> なって | Yを -> 切って | 落ちる
Xと -> なって | Yに -> 切って | 落ちる
Xと | Yと -> 空缶が | なって
Xと | Yの -> 空缶が | なって
Xと | Y -> 一塊と | なって
Xが | Y -> 一塊と | なって
Xは | Yの -> 中 | 転がり出す
Xは | Yの -> 上へ | 転がり出す
X | Yの -> 上へ | 転がり出す
Xは | Yの -> 上へ | 転がり出す
Xと -> なって | Yに -> ある -> 火消壺を | 誘って
Xが -> なって | Yに -> ある -> 火消壺を | 誘って
Xと -> なって | Yに -> ある -> 火消壺を | 誘って
Xが | Yの -> 魂をさえ | 寒からしめた
Xに | Yの -> 魂をさえ | 寒からしめた
Xを | Yの -> 魂をさえ | 寒からしめた
Xと | Yを -> 張り上げて | 飛び出して来る
Xは | Yを -> 張り上げて | 飛び出して来る
Xよりは | Yたる -> 光を | 放っている
Xは | Yに -> おとなしくして | 踞る
Xは | Yの -> 中へ | かくす
Xは | Yに -> いないのに | 聞いている
Xは | Yはと -> いないのに | 聞いている
Xは | Yも -> いないのに | 聞いている
Xに | Yを -> させたのはと | いないのに
Xに | Yを -> 帯びて | いないのに
Xはと | Yを -> 帯びて | いないのに
Xが -> 傾いたので | Y光りの -> 一帯は | 細くなった
Xに -> 傾いたので | Y光りの -> 一帯は | 細くなった
Xでも -> するかもしくは | Yの -> 中 | 入れたいような
Xから | Yの -> 毛衣だけは | する
Xから | Yな -> 気が | する
Xだけは | Yな -> 気が | する
Xを -> 脱いで | Yを -> 脱いで | 涼みたい
Xだと | Yとか -> 人が | 苦しがったと
Xなどは -> して | Yで -> 押し通す -> 生涯を | 送っているように
Xなどは -> して | Yの -> かからない -> 生涯を | 送っているように
Xを -> して | Yで -> 押し通す -> 生涯を | 送っているように
Xを -> して | Yの -> かからない -> 生涯を | 送っているように
Xだって | Yの -> 感じは | ある
Xに | Yの -> 感じは | ある
Xで -> 押し通す | Yの -> かからない | 生涯を
Xも -> ないが | Yを -> 潜った -> 事は | ない
Xでないから | Yを -> 我慢して | なるまで
Xでないから -> なるまで | Yの -> 暖簾を | 潜った
Xして -> なるまで | Yの -> 暖簾を | 潜った
Xに -> なるまで | Yの -> 暖簾を | 潜った
Xには | Yの -> 一度くらい | あびたくない
Xも -> 起らんではないが | Yが -> 出来ないのだから | 仕方がない
Xを -> 煮て -> 見たり | Yを -> 懸けて | 恐悦している
Xに -> 漬けて -> 見たり | Yを -> 懸けて | 恐悦している
Xを -> つけて -> 見たり | Yを -> 懸けて | 恐悦している
Xは | Yにとって -> 無理かも知れんが | もの事だ
Xは | Yも -> 暮さなくて | もの事だ
Xかも知れんが | Yも -> 暮さなくて | もの事だ
Xも | Yを -> 載せて | 暮さなくて
Xも | Yへ -> 載せて | 暮さなくて
Xを | Yの -> 上へ | 載せて
Xになったり -> なったり | Yさえ -> 受けるに | 至っては
Xに -> なったり | Yさえ -> 受けるに | 至っては
Xになったり | Yの -> 御世話に | なったり
Xになったり -> なったり -> 至っては | Yだと -> 断言しても | 好いくらいだ
Xに -> なったり -> 至っては | Yだと -> 断言しても | 好いくらいだ
Xさえ -> 受けるに -> 至っては | Yだと -> 断言しても | 好いくらいだ
X | Yの -> 利害も | ない
Xは | Yで -> 押して行くのは | 行かぬ
Xは | Yまで -> 押して行くのは | 行かぬ
Xは | Yで -> 押して行くのは | 行かぬ
Xで | Y -> ない -> ところまで | 押して行くのは
Xで | Yも -> ない -> ところまで | 押して行くのは
Xを -> して | Yな -> 恰好を | こしらえて
Xだから | Yを -> こしらえて | 得意である
Xは | Yを -> こしらえて | 得意である
Xが | Yの -> ために | なるだろうと
Xで | Yの -> ために | なるだろうと
Xは | Yに -> 生える | ものだから
Xでは | Yに -> 出しているのか | 立たんではないか
Xでは | Yを -> 出しているのか | 立たんではないか
Xを -> 用いて | Yの -> 毛を | 等分して
Xで | Yの -> 上へ | 立てる
Xで | Yの -> 区劃を | 立てる
Xへ | Yの -> 区劃を | 立てる
Xが | Yを -> 過して | 食み出しているのが
Xが | Y -> 過して | 食み出しているのが
Xには | Yが -> 食み出しているのが | ある
Xには | Yまで -> 食み出しているのが | ある
Xには | Yを -> 刈って | 切り落す
Xには | Yに -> 刈って | 切り落す
Xへ | Yな -> 枠を | はめているから
Xへ -> はめているから | Yの -> 写生としか | 受け取れない
Xを -> はめているから | Yの -> 写生としか | 受け取れない
X | Y -> 一分刈さえ | あると
Xだから | Yまで -> 刈り込んで | 流行するかも知れない
Xだから | Yな -> 奴が | 流行するかも知れない
Xだのに | Yでも -> すまして | ぶら下げているのは
Xだのに | Yで -> すまして | ぶら下げているのは
Xだのに | Yの -> 棒鱈のように | ぶら下げているのは
Xは | Yの -> 棒鱈のように | ぶら下げているのは
Xで -> 見ると | Yは -> ものと | 察せられる
Xは | Yして -> いる | ものと
Xは | Yんで -> いる | ものと
Xは | Yが -> よると | しまいかと
Xは | Yらしい -> わるくすると | しまいかと
Xは | Yに -> 食い殺されは | しまいかと
Xは -> 云うが | Yで -> よければ -> なるが | 好い
Xは | Yを -> 見て | 云うが
Xは | Yで -> よかろうなどと | 云うが
Xは | Yで -> 起して -> 暑いと -> 云うような | ものだ
Xは | Yを -> 起して -> 暑いと -> 云うような | ものだ
Xで | Yな -> 用事を | 負えぬ
Xだって | Yを -> 考え出す -> 日には | れんさ
Xだって | Yも -> 考え出す -> 日には | れんさ
Xになりたければ | Yに -> 着て -> 通されるだけの -> 修業を | するが
Xになりたければ | Yでも -> 着て -> 通されるだけの -> 修業を | するが
Xになりたければ | Yを -> 着て -> 通されるだけの -> 修業を | するが
Xでは | Yの -> 昼寝も | 出来ない
Xは | Yしようかと -> 考えて | 見たが
Xか -> ないかな | Yの -> 観察を | 怠ったから
Xは | Yに -> 近い | 性分である
Xに関して | Yに -> 近い | 性分である
Xは -> やるし | Yに -> なってからは | せんので
Xは | Yに -> 劣らぬくらい | やるし
Xを -> せんので | Yする -> 張合が | ない
Xに -> 来ると | Yの -> 皮膚も | 呈して
Xでも -> 来ると | Yの -> 皮膚も | 呈して
Xに -> 遠ざかるだろうに | Yだと -> 思っていると | ある
Xばかりではない | Yの -> 手を | 入れている
Xで | Yの -> 手を | 入れている
Xと | Yを -> やる | ものは
Xを | Yの -> 上へ | 抛り出す
Xで | Yの -> 側へ | 突っ伏して
Xいて -> 出て来ると | Yが -> 着て | している
Xいて -> 出て来ると | Yを -> 着て | している
Xいて -> 出て来ると | Yへ -> 陣取って | している
Xを -> 出て来ると | Yが -> 着て | している
Xを -> 出て来ると | Yを -> 着て | している
Xを -> 出て来ると | Yへ -> 陣取って | している
Xへ -> 出て来ると | Yが -> 着て | している
Xへ -> 出て来ると | Yを -> 着て | している
Xへ -> 出て来ると | Yへ -> 陣取って | している
Xが -> 着て | Yへ -> 陣取って | している
Xを -> 着て | Yへ -> 陣取って | している
Xは | Yに -> 答える -> ほどの -> 響が | したので
Xは | Yと -> 答える -> ほどの -> 響が | したので
Xは | Yへ -> 答える -> ほどの -> 響が | したので
Xで | Yの -> 頭へ | かいたまま
Xと -> 云ったが | Yで -> かいたまま | する
Xと -> 云ったが | Yへ -> かいたまま | する
Xと -> 云ったが | Yを -> かいたまま | する
Xは | Yが -> 出る -> くらいで | 暑うございます
Xは | Yの -> 汗を | とらない
Xしなども | Yなどを -> 致した -> 事が | ないんでございますが
Xが -> だるくってね | Yしなども -> ないんでございますが | やりますかね
Xが -> だるくってね | Yが -> ないんでございますが | やりますかね
X -> 寝られりゃ | Yは -> ないで | さあと
X -> 寝られりゃ -> さあと | Yを -> 並べて | 見たが
Xは -> ないで -> さあと | Yを -> 並べて | 見たが
Xだけでは | Yと -> 見えて | 質でね
Xだけでは | Y -> 寝たくない | 質でね
Xだけでは | Y -> 寝たくない | 質でね
Xでも | Yの -> 上に | 載せてるのが
Xなんかは | Yの -> 上に | 載せてるのが
Xを | Yの -> 上に | 載せてるのが
Xは -> 行かずねと | Yに -> なく | 窮している
Xは -> 行かずねと | Yの -> 処置に | 窮している
Xにも -> 行かずねと | Yに -> なく | 窮している
Xにも -> 行かずねと | Yの -> 処置に | 窮している
Xに -> なく | Yの -> 処置に | 窮している
Xが | Yの -> 恰好から | 露見したと
Xしたと -> 思って | Yと -> 云いながら | いじって
Xは | Yには -> 頓着なく | 云う
Xは | Yな -> 事を | 云う
Xなく | Yな -> 事を | 云う
X -> はね | Yで -> して | 見ましたよと
X -> はね | Yを -> して | 見ましたよと
X -> はね | Yで -> して | 見ましたよと
X -> はね | Yを -> して | 見ましたよと
Xで | Yの -> フライを | して
Xでございます | Yも -> 勿体ないと | 思ってね
Xだろうと上って -> 見たらね -> どうなっておりました | Yどころか -> 流れてしまいました | おやおやと
Xは | Yを -> 寄せながら | 感嘆した
Xだから -> 忘れてしまって | Yに -> なって | 思い出して
Xに -> ならないから | Yに -> 思い出して | 見たらね
Xだが | Yの -> 気候は | びさりをするんですよ
Xは | Yでは -> 寒いくらいでございましたのに | 暑くなりましてね
Xなら | Yに -> 這う | ところだが
Xないですか -> しましょうかと -> 云うと | Yも -> 及びませんとも -> 言い兼ねた | ものだから
Xないですか -> しましょうかと -> 云うと | Yには -> 及びませんとも -> 言い兼ねた | ものだから
Xを -> しましょうかと -> 云うと | Yも -> 及びませんとも -> 言い兼ねた | ものだから
Xを -> しましょうかと -> 云うと | Yには -> 及びませんとも -> 言い兼ねた | ものだから
Xです | Yと -> 云うのは | すか
Xですからね | Yの -> お話しなの | 
Xは | Yに -> ない -> 時分の | 事ですからね
Xは | Yが -> ない -> 時分の | 事ですからね
Xは | Yも -> ない -> 時分の | 事ですからね
Xは | Yと -> 云う -> 国名だけは | 心得ている
Xですか | Yの -> 英雄で | さあ
Xは | Yの -> 英雄で | さあ
Xですか -> さあ | Yで -> 知らないと | 思いました
Xは -> さあ | Yで -> 知らないと | 思いました
Xで -> さあ | Yで -> 知らないと | 思いました
Xが | Y -> 見たように | 眠くなって
Xが -> どうしたんで | Yが -> 眠くなって | 寝ている
Xが -> どうしたんで | Yに -> 眠くなって | 寝ている
Xだ | Yの -> 子が | 来ましてね
Xに | Yの -> 子が | 来ましてね
Xだから | Yい -> 尋ねてあるいても | 分らないんです
Xだから | Yいと -> 尋ねてあるいても | 分らないんです
Xい | Yや -> ーいと | 尋ねてあるいても
Xじゃ | Yへと -> 引きずって | 行ったんですからね
Xを -> つけたって | Yの -> 方へ | あるか
Xですよと | Yの -> 話は | 忘れている
Xは | Yの -> 話は | 忘れている
Xだが | Yに -> やるのは | ありますね
Xだが | Yとして -> やるのは | ありますね
Xも | Yの -> 詩に | 出てくると
Xすると | Yと -> 見えて | 困ります
Xは | Yと -> 見えて | 困ります
X | Yが -> 悪る | くなるばかりですから
Xは | Yですがねと -> して -> 聞きも -> せぬ -> 事を | 吹聴する
Xは | Yを -> して -> 聞きも -> せぬ -> 事を | 吹聴する
Xですがねと | Yな -> 顔を | して
X | Yな -> ものは | ございませんがと
Xでも | Yなんか -> 頂戴しなくっても | 好いですよ
Xは | Yでも -> 御湯漬でも | 御免蒙るんです
Xで | Yでも -> 御湯漬でも | 御免蒙るんです
X来ましたから -> いただきますよと | Yには -> ない -> 事を | 述べる
X来ましたから -> いただきますよと | Yも -> ない -> 事を | 述べる
Xを -> いただきますよと | Yには -> ない -> 事を | 述べる
Xを -> いただきますよと | Yも -> ない -> 事を | 述べる
X -> いただきますよと | Yには -> ない -> 事を | 述べる
X -> いただきますよと | Yも -> ない -> 事を | 述べる
Xで -> いただきますよと | Yには -> ない -> 事を | 述べる
Xで -> いただきますよと | Yも -> ない -> 事を | 述べる
Xは -> 云ったが | Yには -> ありがたいと -> 云う -> まあが | 合併している
Xは -> 云ったが | Yと -> ありがたいと -> 云う -> まあが | 合併している
Xは | Y -> まあと | 云ったが
Xと | Yを -> 悪る | くした
Xには | Yた -> まあと | ありがたいと
Xには | Yが -> 省けて | ありがたいと
Xと | Yが -> 省けて | ありがたいと
Xが -> やかましいので | Yな -> 心持で | 出て来る
X -> やかましいので | Yな -> 心持で | 出て来る
Xが | Yに -> なく | やかましいので
Xと | Yが -> 分らぬ -> 挨拶を | する
Xと | Yだか -> 分らぬ -> 挨拶を | する
Xは | Y -> 着いて | 吸い始めたが
Xは | Yに -> 着いて | 吸い始めたが
Xは | Yの -> 巻煙草入から | 吸い始めたが
Xは -> 吸い始めたが | Yに -> つけて | 云った
Xは -> 吸い始めたが | Yを -> つけて | 云った
Xは -> 吸い始めたが | Yを -> 買ったねと | 云った
Xから -> 吸い始めたが | Yに -> つけて | 云った
Xから -> 吸い始めたが | Yを -> つけて | 云った
Xから -> 吸い始めたが | Yを -> 買ったねと | 云った
Xを -> 吸い始めたが | Yに -> つけて | 云った
Xを -> 吸い始めたが | Yを -> つけて | 云った
Xを -> 吸い始めたが | Yを -> 買ったねと | 云った
Xすぱすぱ -> 吸い始めたが | Yに -> つけて | 云った
Xすぱすぱ -> 吸い始めたが | Yを -> つけて | 云った
Xすぱすぱ -> 吸い始めたが | Yを -> 買ったねと | 云った
Xに -> つけて | Yを -> 買ったねと | 云った
Xを -> つけて | Yを -> 買ったねと | 云った
Xは | Yの -> 前に | 差し出す
Xと | Yの -> 前に | 差し出す
Xらしく | Yの -> 前に | 差し出す
X -> 聞きますからねと | Yを -> かためて | 張り付けると
X -> 聞きますからねと | Yの -> 横ッ腹を | 張り付けると
Xは -> 聞きますからねと | Yを -> かためて | 張り付けると
Xは -> 聞きますからねと | Yの -> 横ッ腹を | 張り付けると
Xですよ -> 聞きますからねと | Yを -> かためて | 張り付けると
Xですよ -> 聞きますからねと | Yの -> 横ッ腹を | 張り付けると
Xを -> 聞きますからねと | Yを -> かためて | 張り付けると
Xを -> 聞きますからねと | Yの -> 横ッ腹を | 張り付けると
Xを -> かためて | Yの -> 横ッ腹を | 張り付けると
Xのごとく | Yほどな -> 穴が | あいた
Xは | Y -> 張ると | 尖んがる
Xは | Yの -> 頭が | 尖んがる
Xを -> 取って | Yとを -> 圧し潰して | 見せる
Xを -> 取って | Yから -> 圧し潰して | 見せる
Xは | Yで -> 延した -> 蕎麦のように | 平たくなる
Xすると | Yと -> 直して | 廻す
Xすると | Yに -> 直して | 廻す
Xすると | Yへ -> 載せて | 廻す
Xすると | Yを -> 載せて | 廻す
Xねえと | Yでも -> 見物しているように | 感嘆すると
Xは | Yでも -> 見物しているように | 感嘆すると
Xと | Yの -> ごとくに | 直して
Xへ | Yの -> 底を | 載せて
Xを | Yの -> 袖口から | 引っ張り出して
Xに | Yへ -> 放げて | 突いた
Xに | Yっ -> さりと | 突いた
Xて | Yっ -> さりと | 突いた
Xへ | Yっ -> さりと | 突いた
Xは | Yですから -> うござんしょうと | する
Xに | Yですから -> うござんしょうと | する
Xですから | Yに -> なすったら | うござんしょうと
Xは | Yを -> 載せると | 回復する
Xは | Yへ -> 載せると | 回復する
Xは | Yな -> 事には | 回復する
Xは | Yの -> 恰好に | 回復する
Xには | Yの -> 恰好に | 回復する
Xだけで | Y -> われないから -> 妙でしょうと | なったのを
Xを | Yから -> 取り出して | 載せると
Xすると | Yじゃ -> 帽子なんですと | している
Xすると | Yを -> 被ったまま | している
Xですと | Yを -> 被ったまま | している
Xは | Yを -> 被ったまま | している
Xじゃ | Yから -> 云う | 帽子なんですと
Xも | Yを -> なったら | いいでしょうと
Xも | Yに -> なったら | いいでしょうと
Xは | Yの -> 奴を | 持ってるじゃありませんか
Xだから | Yに -> なさいよ -> あなたと | 勧告している
Xは | Yを -> 買ったら | 善かろうと
Xを -> しましたね | Yは -> 善かろうと | 思いますんでと
Xは | Yを -> 知らない | ものだから
Xから | Yの -> 鋏を | 取り出して
Xは | Yから -> 取り出して | 見せる
Xは | Yを -> 取り出して | 見せる
Xは | Yから -> 取り出して | 見せる
Xは | Yを -> 取り出して | 見せる
Xは | Yに -> なる | ところであったが
Xは | Yに -> なる | ところであったが
Xであったが | Yに -> かれたのは | 看破した
Xであったが | Yを -> かれたのは | 看破した
Xであったが | Y -> かれたのは | 看破した
Xであったが | Yと -> 云わんより | 看破した
Xであったが | Yの -> 仕合せだと | 看破した
Xは | Yと -> 云わんより | 看破した
Xは | Yの -> 仕合せだと | 看破した
Xは | Yな -> 調子で | 聞いていらっしゃい
Xに -> ありましょう | Yへ -> 入れて | 切るんです
Xに -> ありましょう | Yを -> 入れて | 切るんです
Xが -> ありましょう | Yへ -> 入れて | 切るんです
Xが -> ありましょう | Yを -> 入れて | 切るんです
Xに | Yの -> 欠け目が | ありましょう
Xに | Yと -> 細工が | ありましょう
Xへ -> 置くと | Yの -> 用を | する
Xに -> 置くと | Yの -> 用を | する
Xには -> してあるから | Yの -> 代用も | 出来る
Xが -> してあるから | Yの -> 代用も | 出来る
Xには | Yで -> 磨り | まさあ
Xには | Yを -> 磨り | まさあ
Xきを | Yの -> 頭へ | 刺し込んで
X込んで -> こじ開けると | Y -> なく | とれる
X込んで -> こじ開けると | Yも -> なく | とれる
X | Yの -> 刃の | 先は
Xは | Yを -> 削る | 場所で
Xで | Yに -> 離すと | なる
Xです | Yの -> 球が | ありましょう
Xに | Yの -> 球が | ありましょう
Xだから | Yが -> なくっちゃ | 困ったね
Xへ | Yの -> 眼玉を | 付けて
Xは | Yに -> 取りあげて | つけている
Xは | Yを -> 取りあげて | つけている
Xは | Yへ -> 付けて | つけている
Xは | Yを -> 付けて | つけている
Xでしょう -> さあと | Yと -> 迷亭は | している
Xが -> さあと | Yと -> 迷亭は | している
Xで -> さあと | Yと -> 迷亭は | している
X | Y -> 美人ですねと | 云って
X | Yの -> 美人ですねと | 云って
Xは | Y -> 云って | 離さない
Xは | Yですねと -> 云って | 離さない
Xは | Y -> 見たくなった | ものと
Xは | Yに -> 見たくなった | ものと
Xは | Yが -> 見たくなった | ものと
Xと -> 見えて | Yにも -> 覧せろと | 云うと
Xは | Yに -> 食って | 掛る
Xですね | Yに -> して | 見せるがいいと
Xに | Yの -> 御誂が | 参りましたと
Xから | Yの -> 御誂が | 参りましたと
Xが | Yの -> 御誂が | 参りましたと
Xに -> 参りましたと | Yの -> 笊蕎麦を | 持って来る
Xから -> 参りましたと | Yの -> 笊蕎麦を | 持って来る
Xが -> 参りましたと | Yの -> 笊蕎麦を | 持って来る
Xが -> 参りましたと | Yの -> 笊蕎麦を | 持って来る
Xが | Yの -> 自弁の | 御馳走ですよ
X -> 蒙って | Yで -> ぱくつく -> 事に | 致しますからと
Xは | Yから -> 放して | 云った
Xは | Yを -> 放して | 云った
Xは | Yは -> 毒だぜと | 云った
Xないと | Yの -> 蓋を | とる
Xは | Yに -> 中る | もんじゃないと
Xだよと | Yの -> 中へ | 入れて
Xを | Yの -> 中へ | 入れて
Xは | Yと -> 山葵で | 食うもんだあね
Xを | Yばかりの -> 高さに | しゃくい上げた
Xほど -> ないと -> 云いながら | Yを -> 突き込んで | 出来るだけ
Xは -> ないと -> 云いながら | Yを -> 突き込んで | 出来るだけ
Xほど | Yな -> 事は | ないと
Xを -> 着けて | Yの -> 内で | やっていますね
Xを -> 上げると | Yばかり -> 釣るし | 上げられる
Xを -> 上げると | Yに -> 釣るし | 上げられる
Xが | Yの -> 底を | 離れないで
Xを -> 見ると | Yが -> 離れないで | 纏綿している
Xを -> 見ると | Yを -> 離れないで | 纏綿している
Xを -> 見ると | Yの -> 上に | 纏綿している
Xが -> 離れないで | Yの -> 上に | 纏綿している
Xを -> 離れないで | Yの -> 上に | 纏綿している
Xはと | Yの -> 手を | 要求する
Xに | Yの -> 手を | 要求する
Xは | Yしたらしい -> 返事を | する
Xでございますねと | Yしたらしい -> 返事を | する
Xは | Yの -> 事で | 離れた
Xへ -> 落して | Yの -> 先からだんだんに | 浸すと
Xを -> 落して | Yの -> 先からだんだんに | 浸すと
Xによって | Yの -> 嵩が | 増してくる
Xだけ | Yの -> 嵩が | 増してくる
Xに -> 這入っているから | Yも -> 浸らない -> 先に | なってしまった
Xから -> 這入っているから | Yも -> 浸らない -> 先に | なってしまった
Xが -> 這入っているから | Yも -> 浸らない -> 先に | なってしまった
X -> 這入っているから | Yも -> 浸らない -> 先に | なってしまった
Xは | Yに -> 至って -> 留まった -> きり | 動かない
Xが -> 動いたら | Yの -> 蕎麦は | おった
X -> 動いたら | Yの -> 蕎麦は | おった
Xへ -> 動いたら | Yの -> 蕎麦は | おった
Xに -> 動いたら | Yの -> 蕎麦は | おった
Xも | Yに -> 至って | 体であったが
Xであったが | Yの -> 勢を以て | 行ったなと
Xであったが | Yを -> 持って | 行ったなと
Xであったが | Yへ -> 持って | 行ったなと
Xを以て | Yを -> 持って | 行ったなと
Xを以て | Yへ -> 持って | 行ったなと
Xを | Yの -> 方へ | 持って
Xから | Yな -> ものが | 流れ出した
Xか | Yに -> 折れた | ものか
Xか | Yが -> 折れた | ものか
